1001001, idea01, WaraiA
1006820, think10_mirror, KanasiA
1006821, think09_mirror, WaraiA


1007000, gatts02, DoyaA
1007001, joy05, WaraiC
1007002, near05, IkariA
1007003, gatts01, IkariC
1007004, shock02, KanasiA
1007005, ikaku02, IkariA
1007006, koshiate02, WaraiA
1007007, clap05, WaraiC
1007008, think01, IkariA
1007009, pain01, KomariC
1007010, pose11, KusyoAL
1007011, akire02, KusyoCL
1007012, happy02, DereA
1007013, fight04, IkariA
1007014, surprise05, OdorokiA
1007015, surprise04, OdorokiC
1007016, think01, KusyoCL
1007017, cry04, KanasiC
1007018, udekumi05, DoyaA
1007019, pose11, KomariA
1007020, hello03, WaraiA
1007021, come04, WaraiA
1007022, bow05, DoyaA
1007023, hope03, WaraiC
1007024, koshiate02, WaraiC
1007025, point12, DoyaA
1007026, joy05, DoyaA
1007027, udekumi05, IkariA
1007028, ikaku01, IkariA
1007029, shock06, KanasiA
1007030, shock02, KomariA
1007031, pose03, DoyaA
1007032, koshiate02, WaraiA
1007033, koshiate03, FutuA
1007034, pose11, FutuA
1007035, think01, IkariA
1007036, shock08, IkariA
1007037, shy02, WaraiA
1007038, pose12, WaraiA
1007039, surprise02, OdorokiA
1007040, surprise09, OdorokiA
1007041, akire01, JitomeA
1007042, akire02, JitomeA
1007043, akire02, DoyaA
1007800, think01, DoyaA
1007801, advice04, WaraiA
1007802, fight04, DoyaA
1007803, koshiate02, DoyaA
1007804, sleep05, KomariC
1007805, koshiate02, WaraiA
1007806, idle02, KomariA
1007807, idle02, FutuA
1007808, stretch01, IkariA
1007809, point02, KomariA
1007810, shock01, KomariC
1007811, shy03, KomariC
1007812, laugh08, WaraiC
1007813, hot02, WaraiA
1007814, think01, OdorokiA
1007815, fight04, WaraiA
1007816, happy03, WaraiA
1007817, koshiate02, KusyoCL
1007818, koshiate02, DereA
1007819, ikaku02, WaraiA
1007820, idle01, WaraiC
1007821, surprise04_mirror, OdorokiC
1007822, shock02, KanasiC
1007823, gatts02, IkariC
1007824, think01_mirror, IkariA
1007825, joy05, WaraiC
1007826, shock02, KanasiA
1007827, think01, IkariA
1007828, pain01, KomariC
1007829, think01, KusyoCL
1007830, think01, DoyaA
1007831, sleep05, KomariC
1007832, koshiate02, WaraiA
1007833, idle02, KomariA
1007834, idle02, FutuA
1007835, stretch01, IkariA
1007836, shock01, KomariC
1007837, shy03, KomariC
1007838, laugh08, WaraiC
1007839, think01, OdorokiA
1007840, think01_mirror, IkariA


1008000, gatts03, WaraiA
1008001, gatts04, DoyaA
1008002, koshiate04, IkariA
1008003, angry03, IkariC
1008004, soppo11, KanasiA
1008005, shock06, KomariC
1008006, udekumi05, WaraiA
1008007, fight04, DoyaA
1008008, think09, JitomeA
1008009, shock01, KomariC
1008010, koshiate02, KusyoAL
1008011, udekumi02, KomariA
1008012, shy02, KusyoAL
1008013, soppo02, IkariA
1008014, surprise05, OdorokiA
1008015, surprise02, KomariC
1008016, ikaku01, IkariA
1008017, think07, DoyaA
1008018, pose11, DoyaA
1008019, udekumi01, FutuA
1008020, akire02, JitomeA
1008021, neckup02, DoyaA
1008022, pain05, KomariC
1008023, point03, DoyaA
1008024, point04, DoyaA
1008025, good01, DoyaA
1008026, gatts07, DoyaA
1008027, angry03, IkariA
1008028, ikaku04, IkariA
1008029, shy05, KomariA
1008030, shock06, KanasiA
1008031, laugh06, WaraiC
1008032, koshiate06, WaraiA
1008033, koshiate04, WaraiA
1008034, udekumi05, FutuA
1008035, think02, KomariA
1008036, think06, JitomeA
1008037, soppo02, IkariA
1008038, shy02, KusyoAL
1008039, guard04, OdorokiA
1008040, surprise02, OdorokiC
1008041, akire02, JitomeA
1008042, point04, IkariA
1008800, shy02, KomariC
1008801, shy02, KomariC
1008802, udekumi01, DoyaA
1008803, surprise05, KomariC
1008804, shock06, KomariA
1008805, udekumi05, DoyaA
1008806, ikaku01, DoyaA
1008807, fight04, KomariC
1008808, sleep05, KomariC
1008809, neckup02, FutuA
1008810, udekumi01, WaraiA
1008811, shock01, KomariC
1008812, soppo02, IkariA
1008813, think09, DoyaA
1008814, think09, KomariA
1008815, idle01, DereA
1008816, koshiate02, WaraiC
1008817, fight04, OdorokiC
1008818, shock01, KomariA
1008819, surprise05, KanasiA
1008820, shock06_mirror, KanasiC
1008821, udekumi05, WaraiC
1008822, soppo11, KanasiA
1008823, shock06, KomariC
1008824, think09, JitomeA
1008825, shock01, KomariC
1008826, shy02, KusyoAL
1008827, think07, DoyaA
1008828, shy02, KomariC
1008829, shy02, KomariC
1008830, shock06, KomariA
1008831, sleep05, KomariC
1008832, soppo02, IkariA
1008833, think09, DoyaA
1008834, think09, KomariA
1008835, idle01, DereA
1008836, koshiate02, WaraiC
1008837, fight04, OdorokiC
1008838, shock01, KomariA
1008839, shock06_mirror, KanasiC
1008840, surprise05, KanasiA
1008841, pose11, WaraiA
1008842, pose11, KomariA


1009000, muneate03, WaraiA
1009001, fight04, WaraiC
1009002, koshiate09, IkariA
1009003, gatts06, IkariC
1009004, sad02, KanasiC
1009005, tekumi01, KomariA
1009006, tekumi06, WaraiC
1009007, fight01, DoyaA
1009008, think06, IkariA
1009009, think08, KomariA
1009010, udekumi02, KusyoAL
1009011, tekumi04, KusyoAL
1009012, think05, DereA
1009013, guard03, KomariC
1009014, surprise05, OdorokiC
1009015, surprise10, KomariA
1009016, muneate01, IkariC
1009017, advice02, FutuA
1009018, akire03, JitomeA
1009019, byebye08, WaraiA
1009020, koshiate03, FutuA
1009021, near05, KomariC
1009022, hope03, WaraiC
1009800, tekumi01, DereA
1009801, idle01, WaraiA
1009802, surprise10, OdorokiC
1009803, gatts06, KanasiC
1009804, think06, JitomeA
1009805, advice02, WaraiA
1009806, think06, KomariA
1009807, idle01, IkariC
1009808, koshiate09, IkariA
1009809, tekumi01, KomariA
1009810, think06, IkariA
1009811, muneate01, IkariC
1009812, tekumi01, DereA
1009813, idle01, WaraiA
1009814, surprise10, OdorokiC
1009815, gatts06, KanasiC
1009816, think06, JitomeA
1009817, advice02, WaraiA
1009818, think06, KomariA
1009819, idle01, IkariC


1010000, hope01, WaraiA
1010001, joy05, WaraiC
1010002, soppo02, IkariA
1010003, angry02, IkariC
1010004, sad02, KanasiA
1010005, cry06, KanasiC
1010006, joy02, WaraiA
1010007, good02, WaraiC
1010008, think09, KomariA
1010009, shock08, KomariC
1010010, akire05, KusyoAL
1010011, akire02, KusyoCL
1010012, shy06, DereA
1010013, pose11, KusyoAL
1010014, surprise02, OdorokiA
1010015, surprise04, OdorokiC
1010016, gatts06, DoyaA
1010017, oh05, WaraiC
1010018, near08, JitomeA
1010019, joy03, WaraiC
1010020, byebye07, WaraiC
1010021, hope02, KomariC
1010022, shock01, KomariC
1010800, hope01, DereA
1010801, idle01, WaraiC
1010802, surprise02_mirror, KanasiC
1010803, idle02, DoyaA
1010804, sudachi02, WaraiA
1010805, good02, DoyaA
1010806, surprise04, OdorokiA
1010807, gatts06, IkariA
1010808, joy05, WaraiC
1010809, sad02, KanasiA
1010810, cry06, KanasiC
1010811, think09, KomariA
1010812, akire05, KusyoAL
1010813, shock01, KomariC
1010814, hope01, DereA
1010815, idle01, WaraiC
1010816, surprise02_mirror, KanasiC
1010817, idle02, DoyaA
1010818, sudachi02, WaraiA
1010819, sudachi01, OdorokiA


1011000, idea01, WaraiA
1011001, muneate03, WaraiC
1011002, sudachi03, IkariA
1011003, tekumi01, KomariA
1011004, sad02, KanasiC
1011005, tired03, IkariA
1011006, kuchiate04, WaraiA
1011007, tired03, WaraiC
1011008, think03, KomariA
1011009, think09, FutuA
1011010, kuchiate04, KusyoAL
1011011, tired03, KusyoAL
1011012, tekumi01, DereA
1011013, muneate06, KusyoAL
1011014, guard03, KomariA
1011015, surprise09, OdorokiA
1011016, think03, WaraiC
1011017, muneate04, IkariA
1011018, tekumi06, WaraiC
1011019, tekumi02, WaraiA
1011020, advice01, WaraiA
1011021, bow07, WaraiC
1011022, hope03, WaraiC
1011800, hope01, WaraiC
1011801, tekumi01, WaraiA
1011802, muneate06, DereA
1011803, idle01, WaraiC
1011804, surprise09_mirror, OdorokiA
1011805, tired03_mirror, KanasiA
1011806, idea01, DereA
1011807, idea01, WaraiC
1011808, muneate06_mirror, DereA
1011809, tired03_mirror, KusyoAL
1011810, idle01, KomariA
1011811, muneate03, WaraiC
1011812, sad02, KanasiC
1011813, tired03, IkariA
1011814, think03, KomariA
1011815, think09, FutuA
1011816, kuchiate04, KusyoAL
1011817, think03, WaraiC
1011818, muneate06_mirror, DereA
1011819, idle02, WaraiA
1011820, sneeze01, KanasiC
1011821, muneate06, WaraiA


1012000, koshiate10, WaraiC
1012001, oh08, DoyaA
1012002, ikaku02, IkariA
1012003, angry03, IkariC
1012004, shock04, IkariA
1012005, soppo11, KomariA
1012006, udekumi05, DoyaA
1012007, pose11, WaraiC
1012008, think05, IkariA
1012009, think06, KomariC
1012010, shock04, KusyoAL
1012011, udekumi06, KusyoCL
1012012, shy02, KusyoAL
1012013, shy05, DereA
1012014, surprise05, OdorokiA
1012015, surprise02, OdorokiC
1012016, ikaku01, DoyaA
1012017, near08, IkariA
1012018, udekumi01, FutuA
1012019, koshiate04, WaraiA
1012020, akire02, JitomeA
1012021, neckup03, WaraiA
1012022, udekumi02, KusyoAL
1012023, koshiate06, WaraiA
1012024, koshiate09, WaraiA
1012025, gatts04, DoyaA
1012026, oh08, DoyaA
1012027, ikaku02, IkariA
1012028, koshiate02, IkariA
1012029, shock04, KomariA
1012030, soppo11, KomariA
1012031, udekumi05, DoyaA
1012032, pose11, WaraiC
1012033, udekumi01, FutuA
1012034, koshiate04, FutuA
1012035, think05, IkariA
1012036, udekumi06, KomariA
1012037, shy02, KusyoAL
1012038, shy05, KusyoAL
1012039, surprise05, OdorokiA
1012040, surprise06, OdorokiC
1012041, akire02, JitomeA
1012042, think10, KomariA
1012800, shock04, KomariA
1012801, soppo11, KomariA
1012802, think05, IkariA
1012803, udekumi06, KomariA
1012804, shy05, KusyoAL
1012805, akire02, JitomeA
1012806, think10, KomariA
1012807, koshiate04, DoyaA
1012808, koshiate02, WaraiC
1012809, udekumi01, WaraiA
1012810, pose11, IkariA
1012811, gatts06, DoyaA


1013000, hope01, WaraiC
1013001, idea02, WaraiA
1013002, udekumi02, IkariA
1013003, koshiate01, KomariA
1013004, tekumi03, KanasiC
1013005, sad02, KomariA
1013006, muneate03, WaraiA
1013007, fight11, DoyaA
1013008, think06, IkariA
1013009, kuchiate04, KomariA
1013010, udekumi02, KusyoAL
1013011, udekumi02, KomariA
1013012, tekumi04, KomariA
1013013, tekumi01, KusyoAL
1013014, surprise05, KomariA
1013015, surprise09, OdorokiA
1013016, muneate01, DoyaA
1013017, hope04, IkariA
1013018, koshiate03, JitomeA
1013019, tekumi02, WaraiA
1013020, yell01, WaraiA
1013021, hope08, KomariA
1013022, hungry01, KomariC
1013023, tekumi06, FutuA
1013800, idle01, DereA
1013801, kuchiate04, WaraiC
1013802, sad02, KanasiC
1013803, fight04, DoyaA
1013804, idea02, DereA
1013805, surprise09, OdorokiC
1013806, sad02, KomariA
1013807, think06, IkariA
1013808, kuchiate04, KomariA
1013809, tekumi04, KusyoAL
1013810, muneate01, DoyaA
1013811, hope04, IkariA
1013812, idle01, IkariA


1014000, koshiate06, WaraiC
1014001, joy06, DoyaA
1014002, angry03, IkariC
1014003, koshiate09, IkariA
1014004, tired02, KanasiC
1014005, shock01, KomariC
1014006, udekumi05, WaraiA
1014007, gatts06, DoyaA
1014008, think09, IkariA
1014009, think11, KomariA
1014010, akire02, KusyoAL
1014011, shy06, KusyoCL
1014012, shy02, KusyoAL
1014013, shy05, DereA
1014014, surprise02, OdorokiC
1014015, surprise05, OdorokiA
1014016, good02, WaraiC
1014017, koshiate08, DoyaA
1014018, udekumi01, FutuA
1014019, koshiate02, WaraiA
1014020, akire05, DereA
1014021, hello03, WaraiA
1014022, near06, KomariA
1014023, bow02, WaraiC
1014024, guard04, WaraiA
1014025, oh02, WaraiC
1014026, joy06, DoyaA
1014027, angry03, IkariC
1014028, koshiate09, IkariA
1014029, tired04, KanasiA
1014030, shock01, KanasiA
1014031, udekumi05, DoyaA
1014032, gatts06, WaraiA
1014033, udekumi01, FutuA
1014034, koshiate02, FutuA
1014035, think09, IkariA
1014036, think11, KomariA
1014037, shy02, KusyoAL
1014038, shy05, DereA
1014039, surprise02, OdorokiA
1014040, surprise07, OdorokiA
1014041, akire05, DereA
1014042, shock02, KanasiA
1014800, think09, KomariA
1014801, sleep04, KomariC
1014802, udekumi05, DoyaA
1014803, shy06, DereA
1014804, shy02, WaraiA
1014805, joy06, WaraiA
1014806, idle01, DereA
1014807, tired02_mirror, KomariC
1014808, koshiate09_mirror, IkariA
1014809, tired02, KanasiC
1014810, think09, IkariA
1014811, think11, KomariA
1014812, shy05, DereA
1014813, shock01, KanasiA
1014814, think09, KomariA
1014815, sleep04, KomariC
1014816, tired02_mirror, KomariC
1014817, koshiate09_mirror, IkariA
1014818, sneeze01, KanasiC


1015000, advice02, WaraiA
1015001, clap04, DoyaA
1015002, koshiate03, IkariA
1015003, neckup03, KanasiC
1015004, shock03, KanasiC
1015005, pose03, KomariA
1015006, muneate07, DoyaA
1015007, udekumi02, DoyaA
1015008, think01, FutuA
1015009, think06, IkariA
1015010, udekumi01, KusyoAL
1015011, akire02, KusyoAL
1015012, soppo10, KomariA
1015013, neckup02, KusyoAL
1015014, surprise05, OdorokiA
1015015, surprise02, OdorokiC
1015016, koshiate09, WaraiC
1015017, send01, WaraiA
1015018, koshiate01, FutuA
1015019, udekumi01, FutuA
1015020, akire06, WaraiA
1015021, neckup02, DoyaA
1015022, point04, DoyaA
1015023, muneate02, DereA
1015024, ikaku03, DoyaA
1015800, advice02, WaraiA
1015801, clap04, DoyaA
1015802, koshiate03, IkariA
1015803, pose03, KomariA
1015804, udekumi02, DoyaA
1015805, think01, FutuA
1015806, think06, IkariA
1015807, akire02, KusyoAL
1015808, soppo10, KomariA
1015809, neckup02, KusyoAL
1015810, shock03, KanasiC
1015811, idle01, WaraiA
1015812, udekumi02, WaraiC
1015813, koshiate09_mirror, DoyaA
1015814, think01_mirror, IkariA
1015815, udekumi01, IkariA
1015816, idle01, OdorokiA
1015817, koshiate03, DoyaA
1015818, send01_mirror, WaraiA


1016000, gatts03, DoyaA
1016001, koshiate04, FutuA
1016002, udekumi01, IkariA
1016003, tired02, KomariA
1016004, think02, IkariC
1016005, koshiate03, FutuA
1016006, udekumi01, DoyaA
1016007, think06, FutuA
1016008, think10, IkariA
1016009, udekumi02, KomariA
1016010, think07, IkariA
1016011, pose11, KomariA
1016012, soppo10, IkariA
1016013, surprise05, OdorokiA
1016014, ikaku02, IkariA
1016015, koshiate04, DoyaA
1016016, udekumi01, FutuA
1016017, koshiate03, IkariA
1016018, pain06, IkariA
1016019, koshiate01, FutuA
1016020, udekumi05, FutuA
1016021, hope03, FutuA
1016022, ikaku03, IkariA
1016800, mot01, IkariA
1016801, udekumi02, WaraiA
1016802, mot02, WaraiA
1016803, mot01, OdorokiA
1016804, mot01, KomariA
1016805, mot01, WaraiA
1016806, mot01, DoyaA
1016807, mot02, IkariA
1016808, gatts03, DoyaA


1017000, gatts03, DoyaA
1017001, think06, WaraiC
1017002, udekumi02, IkariA
1017003, muneate01, IkariA
1017004, think06, KomariA
1017005, pain06, KanasiA
1017006, koshiate03, FutuA
1017007, udekumi02, WaraiA
1017008, think05, KomariA
1017009, think08, IkariA
1017010, koshiate01, KusyoAL
1017011, udekumi02, KusyoAL
1017012, udekumi02, DereA
1017013, think05, KusyoAL
1017014, surprise05, OdorokiA
1017015, advice02, FutuA
1017016, koshiate01, DoyaA
1017017, koshiate01, FutuA
1017018, udekumi01, KomariA
1017019, think05, FutuA
1017020, koshiate03, KomariA
1017021, koshiate01, DereA
1017022, advice02, DoyaA
1017023, think06, WaraiC
1017024, gatts03, WaraiA
1017025, advice03, IkariA
1017026, udekumi01, IkariA
1017027, soppo10, KanasiA
1017028, udekumi04, KomariA
1017029, advice02, WaraiA
1017030, think05, WaraiA
1017031, udekumi02, FutuA
1017032, koshiate01, FutuA
1017033, think05, KomariA
1017034, kuchiate04, KomariA
1017035, think08, DereA
1017036, udekumi02, WaraiA
1017037, surprise09, OdorokiA
1017038, think02, KomariA
1017039, tired02, KomariA
1017800, think05, WaraiC
1017801, koshiate03, WaraiC
1017802, koshiate03, DoyaA
1017803, think05, WaraiA
1017804, udekumi02, KomariA
1017805, koshiate03, WaraiA
1017806, surprise05, KomariA
1017807, think05, OdorokiC
1017808, advice02, DereA
1017809, koshiate03, OdorokiA
1017810, think05, IkariA
1017811, gatts03, DoyaA
1017812, think06, WaraiC
1017813, pain06, KanasiA
1017814, think05, KomariA
1017815, koshiate01, FutuA
1017816, think05, WaraiC
1017817, think05, WaraiA
1017818, udekumi02, KomariA
1017819, koshiate03, WaraiA
1017820, surprise05, KomariA
1017821, think05, OdorokiC
1017822, advice02, DereA
1017823, think05, IkariA
1017824, think05, FutuA
1017825, koshiate03, KusyoAL
1017826, koshiate01, DereA


1018000, gatts03, DoyaA
1018001, koshiate01, WaraiA
1018002, neckup01, IkariA
1018003, udekumi01, IkariC
1018004, tired02, KomariA
1018005, think07, IkariA
1018006, koshiate03, WaraiA
1018007, neckup03, WaraiC
1018008, think05, IkariA
1018009, think09, IkariA
1018010, think12, JitomeA
1018011, koshiate01, KusyoAL
1018012, soppo10, IkariA
1018013, soppo11, DereA
1018014, surprise02, OdorokiA
1018015, ikaku03, IkariA
1018016, neckup02, IkariA
1018017, koshiate03, FutuA
1018018, udekumi02, IkariA
1018019, think02, IkariA
1018020, think08_mirror, FutuA
1018021, neckup03, IkariC
1018022, bow05, FutuA
1018023, gatts04, DoyaA
1018024, udekumi05, WaraiA
1018025, neckup01, IkariA
1018026, udekumi01, IkariA
1018027, cry05, KanasiA
1018028, shock04, KanasiC
1018029, kuchiate04, WaraiC
1018030, koshiate06, WaraiA
1018031, koshiate01, FutuA
1018032, udekumi02, FutuA
1018033, think06, JitomeA
1018034, soppo10, KomariA
1018035, soppo11, IkariA
1018036, soppo12, DereA
1018037, surprise09, OdorokiA
1018038, surprise10, OdorokiA
1018039, advice02, IkariA
1018040, think02, KomariA
1018800, soppo10, IkariA
1018801, udekumi02, FutuA
1018802, think07, KomariA
1018803, think05, WaraiA
1018804, think09, FutuA
1018805, idle02, FutuA
1018806, koshiate03, KomariA
1018807, idle01, DereA
1018808, koshiate01, OdorokiA
1018809, sudachi04, OdorokiC
1018810, think07, KanasiC
1018811, udekumi01, FutuA
1018812, neckup01, IkariC
1018813, gatts03, DoyaA
1018814, neckup01, IkariA
1018815, think07, IkariA
1018816, think05, IkariA
1018817, think09, IkariA
1018818, think12, JitomeA
1018819, soppo11, DereA
1018820, koshiate03, FutuA
1018821, soppo10, IkariA
1018822, think07, KomariA
1018823, think05, WaraiA
1018824, think09, FutuA
1018825, idle02, FutuA
1018826, idle01, DereA
1018827, koshiate01, OdorokiA
1018828, sudachi04, OdorokiC
1018829, think07, KanasiC
1018830, udekumi01, FutuA
1018831, neckup01, IkariC
1018832, neckup01, DoyaA
1018833, think05, DoyaA
1018834, koshiate01, WaraiA


1019000, fight09, WaraiA
1019001, oh07, WaraiC
1019002, muneate01, IkariA
1019003, udekumi02, IkariC
1019004, tekumi04, KanasiA
1019005, shock03, KomariC
1019006, fight07, DoyaA
1019007, koshiate02, WaraiC
1019008, think09, KomariA
1019009, shock07, KomariC
1019010, tekumi05, KusyoAL
1019011, shy06, KusyoCL
1019012, shy03, KusyoCL
1019013, guard02, KomariC
1019014, surprise02, OdorokiC
1019015, guard04, KomariC
1019016, happy02, DereA
1019017, joy05, WaraiC
1019018, koshiate01, WaraiA
1019019, soppo10, IkariA
1019020, bow03, WaraiC
